Time,Force,Jaw,Strain,Stress,TC1
(sec),(kN),(mm),,(MPa),(C)
6.5730000000000004,7.7887936,2.1052863999999998,0.19303179000000001,81.464127000000005,849.29987000000006
6.5735000000000001,7.9132419000000001,2.1113944,0.19335172,82.932640000000006,849.26684999999998
6.5739999999999998,7.9605246000000003,2.1058595000000002,0.19288501,83.542998999999995,849.23383000000001
6.5744999999999996,7.9868398000000003,2.1051237999999999,0.19321384,83.747871000000004,849.20081000000005
6.5750000000000002,8.0006494999999997,2.1096582000000001,0.19309334,83.968718999999993,849.16778999999997
6.5754999999999999,7.9861864999999996,2.1040236999999999,0.19281297999999999,83.900085000000004,849.13477
6.5759999999999996,7.9734521000000003,2.1053104,0.19324178,83.694084000000004,849.12189000000001
6.5765000000000002,7.9768767,2.1082637000000002,0.19288275999999999,83.704764999999995,849.11401000000001
6.577,7.9888358000000004,2.1040299,0.19277172000000001,83.839447000000007,849.10613999999998
6.5774999999999997,7.9735069000000003,2.1082413,0.19324785,83.671616,849.09826999999996
6.5780000000000003,7.9649706,2.1061285000000001,0.19276963,83.637482000000006,849.09045000000003
6.5785,7.9765896999999999,2.1032231000000001,0.19292396000000001,83.748535000000004,849.08258000000001
6.5789999999999997,7.9796947999999999,2.1087965999999998,0.19308581999999999,83.810401999999996,849.07470999999998
6.5795000000000003,7.9718055999999997,2.1052849,0.19274317999999999,83.746596999999994,849.06682999999998
6.58,7.4887918999999998,2.1036692000000001,0.19304551,80.684227000000007,849.05895999999996
6.5804999999999998,7.5204829999999996,2.1145122000000001,0.1935077,78.836365000000001,849.05115000000001
6.5810000000000004,7.9198380000000004,2.1089891999999999,0.19335986999999999,82.610091999999995,849.04327000000001
6.5815000000000001,8.1717329000000003,2.1060805,0.19331613,85.562095999999997,849.03539999999998
6.5819999999999999,8.2390413000000002,2.1066805999999998,0.19270687,86.416388999999995,849.02752999999996
6.5824999999999996,8.2693787000000007,2.1037571000000002,0.19282073999999999,86.823853,849.01964999999996
6.5830000000000002,8.2393370000000008,2.1092319000000002,0.19335851000000001,86.734343999999993,849.01184000000001
6.5834999999999999,8.0915564999999994,2.1076790999999999,0.19292153000000001,85.106650999999999,849.00396999999998
6.5839999999999996,8.0135775000000002,2.1045341,0.19304404999999999,84.180076999999997,848.99608999999998
6.5845000000000002,7.9972405000000002,2.1086984000000002,0.19308011,83.963356000000005,848.98821999999996
6.585,7.9982284999999997,2.1042404000000001,0.19277797999999999,83.994468999999995,848.98035000000004
6.5854999999999997,7.9983906999999999,2.1042964,0.19322494000000001,83.970436000000007,848.97253000000001
6.5860000000000003,7.9714679999999998,2.108006,0.19294016,83.723579000000001,849.00494000000003
6.5865,7.9725266000000001,2.1026956999999999,0.19268915,83.737724,849.04736000000003
6.5869999999999997,7.9911450999999998,2.1059320000000001,0.19322840999999999,83.881432000000004,849.08983999999998
6.5875000000000004,7.9965577000000003,2.1077507,0.19293368999999999,83.954177999999999,849.13225999999997
6.5880000000000001,7.9776854999999998,2.1035618999999999,0.19282373999999999,83.820267000000001,849.17474000000004
6.5884999999999998,7.9716344000000001,2.1078166999999999,0.19316554,83.721915999999993,849.21716000000004
6.5890000000000004,7.9880705000000001,2.1059937,0.19274743999999999,83.787673999999996,849.25963999999999
6.5895000000000001,7.9842649000000003,2.1037173,0.19305812,83.843734999999995,849.30205999999998
6.59,8.7221612999999998,2.1093557000000001,0.19301260000000001,90.112976000000003,849.34454000000005
6.5904999999999996,8.4622668999999995,2.1123004000000001,0.1934613,88.933509999999998,849.38696000000004
6.5910000000000002,8.0191096999999996,2.1095250000000001,0.19378619999999999,84.489304000000004,849.42944
6.5914999999999999,7.8163409000000001,2.1073417999999999,0.19286601,82.281173999999993,849.47185999999999
6.5919999999999996,7.7425737000000003,2.1007596999999998,0.19250774000000001,81.394538999999995,849.51433999999995
6.5925000000000002,7.7079411000000002,2.1066923000000002,0.19332652,80.921722000000003,849.55676000000005
6.593,7.7582269000000004,2.1099595999999998,0.19312984,81.183334000000002,849.59924000000001
6.5934999999999997,7.9118586000000004,2.1057826999999998,0.19313042999999999,82.866378999999995,849.64166
6.5940000000000003,7.9511498999999999,2.1093304000000002,0.19335479999999999,83.424484000000007,849.68413999999996
6.5945,7.9692182999999996,2.1065748000000002,0.19286336000000001,83.630820999999997,849.72655999999995
6.5949999999999998,7.9852695000000002,2.1044605000000001,0.19317192,83.753913999999995,849.76904000000002
6.5955000000000004,7.9922867000000002,2.1097424,0.19312878,83.823357000000001,849.81146000000001
